Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q13a,Q13b,Q13c,Q13d,Q14,Q14a,Q14b,Q15a,Q15b,Q16,Q17,Q17y,Q18,Q18y,Q19,Q19y
1,167.64,60,1,1,0,1,15.2,37.6,35,1,2,2,,,,,2,,,NA,,2,2,,2,,1,10
1,178,90,2,5,120,4,0.25,20,25,3,2,1,12,300,1500,1,1,15,9,NA,,NA,1,2,1,40,1,10
1,177.8,72.55,1,1,50,3,2,15,70,1,2,1,16,360,1200,1,1,24,10,3,2,2,1,17,1,26,2,
1,174,73,1,1,0,4,2,0,10,1,2,2,,,,,2,,,1,2,3,2,,1,12,2,
1,176,64.5,1,5,120,4,0.5,12,45,2,2,1,1,370,0,3,2,,,1,2,1,2,,1,20,2,
2,157,59,1,4,115,4,1.4,0,20,3,2,1,12,200,240,1,1,10,8.65,0,3,1,2,,1,2,2,
1,176,84,1,1,0,1,14,16,15,1,1,1,12,160,0,1,1,12.5,11,0,0,1,2,,2,,1,7
1,182,78,2,2,0,4,2,0,50,2,2,1,12,400,NA,1,2,,,0,3,2,2,,1,3,1,15
2,180.34,75,2,1,0,1,2.5,10,10,1,2,1,9,150,200,3,2,,,1,5,1,1,2,1,20,1,3
1,182.88,74.39,2,1,100,1,18.6,60,30,1,1,2,,,,,2,,,0,0,3,2,,2,,1,1
1,180,81,1,1,0,3,10,27,40,1,2,1,6,520,250,3,2,,,2,16,3,2,,1,16,2,
2,170,63,1,4,250,1,3.1,22,30,3,2,2,,,,,2,,,1,1,3,2,,NA,NA,2,
1,182.88,76,1,1,0,3,3,40,4,1,2,1,12,150,100,1,2,,,3,7,3,2,,1,18,1,8
2,175,NA,1,4,100,4,0.5,5,20,2,2,1,16,240,2500,1,1,14,10,1,3,3,2,,1,7,2,
2,152.4,57,2,1,30,3,14.2,40,12,1,1,2,,,,,2,,,2,5,3,2,,1,5,1,5
1,175,70,1,1,0,1,21,17,20,1,1,2,,,,,2,,,NA,1,2,2,,1,2,1,5
1,187.96,83,2,1,0,3,4,5,40,1,2,1,12,400,100,3,1,12,8.65,2,5,3,2,,1,30,1,5.5
1,187.96,75,1,4,105,4,0.8,0,35,3,1,1,30,250,2000,1,1,8,9,1,3,2,2,,1,20,1,10
1,182.88,72.1,1,1,0,3,23.7,67,45,1,2,1,16,250,1000,1,1,32,9,2,3,3,2,,1,10,1,10
1,180,76.2,1,5,130,4,0,0,50,3,2,1,15,325,3000,1,1,8,8.65,1,3,3,2,,1,25,1,9
1,182.8,76.29,1,1,0,3,1.3,10,100,1,2,1,21,570,3000,1,1,16,11.5,4,12,3,2,,1,50,1,20
1,180,70,1,4,75,4,0.7,30,50,2,2,1,2,200,0,1,1,NA,NA,1,3,1,2,,1,35,1,7
2,170,53,1,1,0,1,3,16,20,1,1,1,4,150,0,1,1,NA,NA,2,2,2,2,,2,,2,
2,160,48,1,4,100,1,7.5,11.5,30,3,1,1,NA,NA,NA,NA,1,12,8.65,0,5,3,2,,2,,2,
1,188,83,1,4,110,4,0.8,0,40,3,1,1,8,130,1000,1,1,22,6.82,1,7,3,2,,1,25,1,10
2,173,50,1,1,0,1,7.1,20,15,1,1,1,12,300,1500,1,1,25,9,4,7,3,2,,2,,1,10
2,172,78,1,4,100,4,0.5,0,30,3,1,1,14,200,0,1,1,14,10,4,15,2,2,,1,3,2,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
1,178,64,1,1,0,3,5,40,40,1,1,1,11,900,3000,4,2,,,2,5,3,2,,1,20,1,3
2,165,57.15,1,1,0,3,13.6,10,20,1,2,1,13,200,1000,1,1,20,9,1,6,NA,2,,1,8,2,
1,180,80,1,NA,0,2,1.2,0,50,1,2,1,12,300,3000,3,1,17,11.45,NA,NA,NA,NA,NA,1,NA,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
1,177,69,2,1,9,1,8.4,24,20,1,2,1,12,210,400,1,1,9,9,1,2,3,2,,1,20,1,9
1,182.9,82.5,1,4,120,4,0.5,35,50,3,2,1,10,350,2000,2,1,6,7.5,2,4,1,2,,1,15,1,10
2,174,62,1,1,0,3,17,60,40,1,2,1,26,300,100,1,1,20,8.75,1,3,3,2,,1,1,NA,NA
2,157.5,48,1,4,120,4,0,0,NA,3,2,1,NA,NA,NA,1,1,5,10,3,5,NA,2,,NA,NA,2,
1,183,78,1,1,0,3,11,25,30,1,1,2,,,,,2,,,0,0,1,2,,2,,2,
1,193,82,1,1,40,1,4,17.2,30,1,1,2,,,,,1,16,9.48,1,1,2,2,,1,8,1,6
2,158,42,2,1,0,1,15.2,11.5,20,4,2,2,,,,,2,,,3,6,2,2,,2,,1,2
2,132,47,1,4,87.5,4,2.6,0,15,1,1,2,,,,,1,18,8.65,1,3,3,2,,2,,2,
1,185.42,114,2,4,337.5,4,1.3,0,20,2,2,1,10,200,2000,1,2,,,5,15,2,2,,1,50,1,10
1,177.8,94,1,1,55,1,15.2,30,19,1,2,1,12,320,4000,1,1,32,9.75,3,14,3,2,,1,16,1,4
1,180.34,60,1,4,67.5,1,2,17.2,20,1,1,2,,,,,1,12.5,9.7,1,1,2,2,,2,,2,
1,185.42,87,1,1,0,3,11,40,60,1,2,1,14,300,1200,1,1,12,10,3,8,2,2,,1,25,1,5
1,190.5,81.92,1,1,50,3,48,35,20,1,2,1,21,175,NA,1,1,20.5,8.65,1,2,3,2,,1,74,2,
1,177.8,63.288,1,4,75,4,0.3,0,40,3,2,2,,,,,2,,,0,NA,1,2,,1,10,1,5
2,160,NA,1,1,0,1,11.2,17.5,50,1,2,1,12,330,1000,1,1,16,9.46,3,7,3,1,5,1,10,2,
